order_id,order_date,customer_name,city,customer_type,product_name,category,quantity,total_amount,status
1,10-11-2025,Customer_3,Hyderabad,Premium,Laptop,Electronics,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Smartphone,Sports,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Headphones,Books,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,T-Shirt,Clothing,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Jeans,Books,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Blender,Clothing,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Microwave,Electronics,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Novel,Clothing,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Textbook,Sports,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Football,Books,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Yoga Mat,Electronics,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Watch,Books,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Sunglasses,Home & Kitchen,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Backpack,Sports,4,16647.52,Cancelled
1,10-11-2025,Customer_3,Hyderabad,Premium,Shoes,Electronics,4,16647.52,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Laptop,Electronics,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Smartphone,Sports,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Headphones,Books,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,T-Shirt,Clothing,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Jeans,Books,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Blender,Clothing,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Microwave,Electronics,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Novel,Clothing,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Textbook,Sports,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Football,Books,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Yoga Mat,Electronics,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Watch,Books,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Sunglasses,Home & Kitchen,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Backpack,Sports,1,797.82,Cancelled
2,28-01-2026,Customer_2,Hyderabad,VIP,Shoes,Electronics,1,797.82,Cancelled
3,22-01-2026,Customer_16,Delhi,Premium,Laptop,Electronics,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Smartphone,Sports,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Headphones,Books,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,T-Shirt,Clothing,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Jeans,Books,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Blender,Clothing,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Microwave,Electronics,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Novel,Clothing,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Textbook,Sports,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Football,Books,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Yoga Mat,Electronics,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Watch,Books,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Sunglasses,Home & Kitchen,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Backpack,Sports,1,1282.64,Pending
3,22-01-2026,Customer_16,Delhi,Premium,Shoes,Electronics,1,1282.64,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Laptop,Electronics,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Smartphone,Sports,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Headphones,Books,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,T-Shirt,Clothing,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Jeans,Books,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Blender,Clothing,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Microwave,Electronics,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Novel,Clothing,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Textbook,Sports,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Football,Books,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Yoga Mat,Electronics,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Watch,Books,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Sunglasses,Home & Kitchen,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Backpack,Sports,5,3989.1,Pending
4,05-12-2025,Customer_31,Chennai,Regular,Shoes,Electronics,5,3989.1,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Laptop,Electronics,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Smartphone,Sports,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Headphones,Books,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,T-Shirt,Clothing,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Jeans,Books,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Blender,Clothing,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Microwave,Electronics,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Novel,Clothing,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Textbook,Sports,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Football,Books,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Yoga Mat,Electronics,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Watch,Books,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Sunglasses,Home & Kitchen,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Backpack,Sports,5,11853.35,Pending
5,31-01-2026,Customer_42,Hyderabad,VIP,Shoes,Electronics,5,11853.35,Pending
6,28-12-2025,Customer_38,Pune,VIP,Laptop,Electronics,4,10687.08,Completed
6,28-12-2025,Customer_38,Pune,VIP,Smartphone,Sports,4,10687.08,Completed
6,28-12-2025,Customer_38,Pune,VIP,Headphones,Books,4,10687.08,Completed
6,28-12-2025,Customer_38,Pune,VIP,T-Shirt,Clothing,4,10687.08,Completed
6,28-12-2025,Customer_38,Pune,VIP,Jeans,Books,4,10687.08,Completed
6,28-12-2025,Customer_38,Pune,VIP,Blender,Clothing,4,10687.08,Completed
